8052978,16,5
8238213,16,5
8238213,2,47
8238708,0,29
8238967,2,47
8238967,1,29
8252712,1,29
8252712,16,5
8438230,16,5
8438230,2,47
8438728,0,29
8438975,2,47
8438975,1,29
8452712,1,29
8452712,16,5
8626415,16,5
8626415,2,47
8626915,0,39
8627170,2,47
8627170,1,39
8627572,1,39
8627572,16,5
8638221,16,5
8638221,2,47
8638758,0,29
8639000,2,47
8639000,1,29
8652752,1,29
8652752,16,5
8838224,16,5
8838224,2,47
8838776,0,29
8839031,2,47
8839031,1,29
8852785,1,29
8852785,16,5
9038229,16,5
9038229,2,47
9038781,0,29
9039038,2,47
9039038,1,29
9052861,1,29
9052861,16,5
9238232,16,5
9238232,2,47
9238770,0,29
9239028,2,47
9239028,1,29
9252778,1,29
9252778,16,5
9438239,16,5
9438239,2,47
9438731,0,29
9438984,2,47
9438984,1,29
9452717,1,29
9452717,16,5
9626410,16,5
9626410,2,47
9626897,0,39
9627157,2,47
9627157,1,39
9627571,1,39
9627571,16,5
9638229,16,5
9638229,2,47
9638766,0,29
9639027,2,47
9639027,1,29
9652824,1,29
9652824,16,5
9838237,16,5
9838237,2,47
9838797,0,29
9839059,2,47
9839059,1,29
9852801,1,29
9852801,16,5
10038223,16,5
10038223,2,47
10038766,0,29
10039023,2,47
10039023,1,29
10052966,1,29
10052966,16,5
10238219,16,5
10238219,2,47
10238718,0,29
10238967,2,47
10238967,1,29
10252723,1,29
10252723,16,5
10438224,16,5
10438224,2,47
10438723,0,29
10438968,2,47
10438968,1,29
10452718,1,29
10452718,16,5
10626413,16,5
10626413,2,47
10626898,0,39
10627143,2,47
10627143,1,39
10627551,1,39
10627551,16,5
10638230,16,5
10638230,2,47
10638761,0,29
10639016,2,47
10639016,1,29
10652771,1,29
10652771,16,5
10838230,16,5
10838230,2,47
10838776,0,29
10839022,2,47
10839022,1,29
10852770,1,29
10852770,16,5
11038230,16,5
11038230,2,47
11038761,0,29
11039019,2,47
11039019,1,29
11052847,1,29
11052847,16,5
11238231,16,5
11238231,2,47
11238783,0,29
11239046,2,47
11239046,1,29
11252798,1,29
11252798,16,5
11438238,16,5
11438238,2,47
11438725,0,29
11438977,2,47
11438977,1,29
11452719,1,29
11452719,16,5
11626417,16,5
11626417,2,47
11626895,0,39
11627152,2,47
11627152,1,39
11627555,1,39
11627555,16,5
11638221,16,5
11638221,2,47
11638767,0,29
11639025,2,47
11639025,1,29
11652875,1,29
11652875,16,5
11838223,16,5
11838223,2,47
11838776,0,29
11839031,2,47
11839031,1,29
11852776,1,29
11852776,16,5
12038225,16,5
12038225,2,47
12038729,0,29
12038985,2,47
12038985,1,29
12044840,16,29
12044840,2,47
12045241,0,17
12045426,2,47
12045426,16,29
12054063,1,29
12054063,1,17
12238201,16,17
12238201,2,47
12238658,0,29
12238874,2,47
12238874,1,29
12252597,1,29
12252597,16,17
12438201,16,17
12438201,2,47
12438598,0,29
12438811,2,47
12438811,1,29
12452526,1,29
12452526,16,17
12597610,1,17
12597610,16,5
12626392,16,5
12626392,2,47
12626814,0,39
12627045,2,47
12627045,1,39
12627390,1,39
12627390,16,5
12638204,16,5
12638204,2,47
12638649,0,29
12638866,2,47
12638866,1,29
12652588,1,29
12652588,16,5
12838202,16,5
12838202,2,47
12838647,0,29
12838870,2,47
12838870,1,29
12852591,1,29
12852591,16,5
13038206,16,5
13038206,2,47
13038666,0,29
13038895,2,47
13038895,1,29
13052710,1,29
13052710,16,5
13238208,16,5
13238208,2,47
13238669,0,29
13238898,2,47
13238898,1,29
13252643,1,29
13252643,16,5
13438208,16,5
13438208,2,47
13438625,0,29
13438852,2,47
13438852,1,29
13452582,1,29
13452582,16,5
13626402,16,5
13626402,2,47
13626848,0,39
13627097,2,47
13627097,1,39
13627478,1,39
13627478,16,5
13638209,16,5
13638209,2,47
13638701,0,29
13638944,2,47
13638944,1,29
13652725,1,29
13652725,16,5
13838210,16,5
13838210,2,47
13838694,0,29
13838931,2,47
13838931,1,29
13852684,1,29
13852684,16,5
14038219,16,5
14038219,2,47
14038750,0,29
14039002,2,47
14039002,1,29
14052947,1,29
14052947,16,5
14238225,16,5
14238225,2,47
14238736,0,29
14238992,2,47
14238992,1,29
14252741,1,29
14252741,16,5
14438227,16,5
14438227,2,47
14438717,0,29
14438977,2,47
14438977,1,29
14452719,1,29
14452719,16,5
14626413,16,5
14626413,2,47
14626875,0,39
14627123,2,47
14627123,1,39
14627508,1,39
14627508,16,5
14638222,16,5
14638222,2,47
